class,Blue 490nm,Green 560nm,Red 665nm,VRE 705nm,VRE 740nm,VRE 783nm,NIR 843nm,SWIR 1610nm,SWIR 2190nm,VRE 865nm
T31-C-11,0.0188999995589256,0.0584000013768672,0.0401999987661838,0.1181000024080276,0.2736999988555908,0.321399986743927,0.3783999979496002,0.1775999963283538,0.0899000018835067,0.3477999866008758
T31-C-11,0.026300000026822,0.0570000000298023,0.0454000011086463,0.1151999980211258,0.2572000026702881,0.3003000020980835,0.3727999925613403,0.1518999934196472,0.0768999978899955,0.3425999879837036
T31-C-11,0.0162000004202127,0.0526000000536441,0.0359999984502792,0.1151999980211258,0.2572000026702881,0.3003000020980835,0.3763999938964844,0.1518999934196472,0.0768999978899955,0.3425999879837036
T31-C-11,0.0195000004023313,0.0537000000476837,0.0364000014960765,0.1167000010609626,0.2241999953985214,0.2594000101089477,0.3596000075340271,0.1234999969601631,0.065200001001358,0.2808000147342682
T31-C-11,0.0197000000625848,0.0471000000834465,0.0333999991416931,0.1158000007271766,0.2915000021457672,0.3427000045776367,0.3016000092029571,0.1870000064373016,0.0910999998450279,0.3802999854087829
T31-C-11,0.0230000000447034,0.0582000017166137,0.0438000001013278,0.1158000007271766,0.2915000021457672,0.3427000045776367,0.3643999993801117,0.1870000064373016,0.0910999998450279,0.3802999854087829
T31-C-11,0.0308999996632337,0.0640000030398368,0.0548000000417232,0.1209999993443489,0.2953999936580658,0.3587000072002411,0.3483999967575073,0.1794999986886978,0.0882000029087066,0.3565999865531921
T31-C-11,0.0229000002145767,0.0621999986469745,0.0463000014424324,0.1209999993443489,0.2953999936580658,0.3587000072002411,0.393200010061264,0.1794999986886978,0.0882000029087066,0.3565999865531921
T31-C-11,0.024100000038743,0.0584999993443489,0.046399999409914,0.1112999990582466,0.2294999957084655,0.25,0.3675999939441681,0.1483000069856643,0.0839999988675117,0.263700008392334
T31-C-11,0.0251000002026557,0.0553999990224838,0.0452000014483928,0.1209999993443489,0.2953999936580658,0.3587000072002411,0.3095999956130981,0.1794999986886978,0.0882000029087066,0.3565999865531921
T31-C-11,0.0324000008404254,0.0631999969482421,0.0568000003695488,0.1112999990582466,0.2294999957084655,0.25,0.2727999985218048,0.1483000069856643,0.0839999988675117,0.263700008392334
T31-C-11,0.0187999997287988,0.0428000018000602,0.0328000001609325,0.0943000018596649,0.1888000071048736,0.2261999994516372,0.2741999924182892,0.1141000017523765,0.0553999990224838,0.2393999993801117
T31-C-11,0.0129000004380941,0.0456999987363815,0.0302000008523464,0.1112999990582466,0.298799991607666,0.3323999941349029,0.3632000088691711,0.156700000166893,0.0767000019550323,0.3671999871730804
T31-C-11,0.0105999996885657,0.0443000011146068,0.0305000003427267,0.1112999990582466,0.298799991607666,0.3323999941349029,0.3551999926567077,0.156700000166893,0.0767000019550323,0.3671999871730804
T31-C-11,0.0175999999046325,0.050000000745058,0.0350000001490116,0.1036999970674514,0.2398000061511993,0.2763999998569488,0.3440000116825104,0.1327999979257583,0.066500000655651,0.296999990940094
T31-C-11,0.0219999998807907,0.0469000004231929,0.0412000007927417,0.1036999970674514,0.2398000061511993,0.2763999998569488,0.2784000039100647,0.1327999979257583,0.066500000655651,0.296999990940094
T31-C-11,0.0222999993711709,0.0452000014483928,0.0379999987781047,0.096400000154972,0.2011999934911728,0.2345999926328659,0.2624000012874603,0.1092000007629394,0.0522999987006187,0.2515999972820282
T31-C-11,0.0198999997228384,0.05180000141263,0.036200001835823,0.1246000006794929,0.2955999970436096,0.3339999914169311,0.3704000115394592,0.1684000045061111,0.0819000005722045,0.3723999857902527
T31-C-11,0.0205000005662441,0.0544000007212162,0.0432000011205673,0.1246000006794929,0.2955999970436096,0.3339999914169311,0.3736000061035156,0.1684000045061111,0.0819000005722045,0.3723999857902527
T31-C-11,0.0236000008881092,0.0571999996900558,0.0441999994218349,0.123099997639656,0.2786000072956085,0.3210999965667724,0.3700000047683716,0.1715999990701675,0.0886000022292137,0.3616000115871429
T31-C-11,0.0236000008881092,0.0575999990105629,0.0443000011146068,0.123099997639656,0.2786000072956085,0.3210999965667724,0.3156000077724457,0.1715999990701675,0.0886000022292137,0.3616000115871429
T31-C-11,0.0206000003963708,0.0430000014603138,0.0377000011503696,0.096400000154972,0.2011999934911728,0.2345999926328659,0.270000010728836,0.1092000007629394,0.0522999987006187,0.2515999972820282
T31-C-11,0.0240000002086162,0.0549000017344951,0.0399000011384487,0.1246000006794929,0.2955999970436096,0.3339999914169311,0.3492000102996826,0.1684000045061111,0.0819000005722045,0.3723999857902527
T31-C-11,0.0219999998807907,0.0540000014007091,0.0394000001251697,0.1246000006794929,0.2955999970436096,0.3339999914169311,0.3668000102043152,0.1684000045061111,0.0819000005722045,0.3723999857902527
